N = 6
q = 11
Calculated probability:
0.812842459277
Probability based on random polynomials
0.81158
####################################################
##################################################
N = 2
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
37		0.97297		1369		0.99926		50653		0.99999
41		0.97560		1681		0.99940		68921		0.99999
43		0.97674		1849		0.99945		79507		0.99999
47		0.97872		2209		0.99954		103823		0.99999
53		0.98113		2809		0.99964		148877		0.99999
59		0.98305		3481		0.99971		205379		0.99999
61		0.98360		3721		0.99973		226981		0.99999
67		0.98332		4489		0.99621		300763		0.99999
71		0.98591		5041		0.99980		357911		0.99999
##################################################
N = 19
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.49999		4		0.74999		8		0.93749
3		0.66666		9		0.88888		27		0.98765
5		0.79999		25		0.95999		125		0.9984
7		0.84225		49		0.97954		343		0.99958
11		0.90500		121		0.99173		1331		0.99993
13		0.92307		169		0.99408		2197		0.99996
17		0.94117		289		0.99653		4913		0.99998
19		0.94736		361		0.99722		6859		0.99999
23		0.95652		529		0.99810		12167		0.99999
29		0.96551		841		0.99881		24389		0.99999
31		0.96774		961		0.99895		29791		0.99999
37		0.96659		1369		0.98621		50653		0.99998
41		0.97560		1681		0.99940		68921		0.99999
43		0.97674		1849		0.99945		79507		0.99999
47		0.97872		2209		0.99954		103823		0.99999
53		0.98113		2809		0.99964		148877		0.99999
59		0.98305		3481		0.99971		205379		0.99999
61		0.98360		3721		0.99973		226981		0.99999
67		0.98507		4489		0.99977		300763		0.99999
71		0.98591		5041		0.99980		357911		0.99999
##################################################
N = 23
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.49951		4		0.74999		8		0.9375
3		0.66665		9		0.88888		27		0.98765
5		0.8		25		0.96		125		0.9984
7		0.85714		49		0.97959		343		0.99958
11		0.90909		121		0.99173		1331		0.99993
13		0.92307		169		0.99408		2197		0.99996
17		0.94117		289		0.99653		4913		0.99998
19		0.94736		361		0.99722		6859		0.99999
23		0.95652		529		0.99810		12167		0.99999
29		0.96551		841		0.99881		24389		0.99999
31		0.96774		961		0.99895		29791		0.99999
37		0.97297		1369		0.99926		50653		0.99999
41		0.97560		1681		0.99940		68921		0.99999
